time_s,accel_x_g,accel_y_g,accel_z_g
1.3494,-0.4597,-9.9742,0.1197
1.3524,-0.3615,-9.9503,0.2682
1.3553,-0.3950,-9.9407,0.0766
1.3583,-0.4812,-9.8593,-0.0335
1.3612,-0.4022,-9.9431,0.1077
1.3641,-0.4142,-10.1131,0.0263
1.3671,-0.3831,-9.9359,0.1053
1.3700,-0.3855,-9.9551,0.1077
1.3730,-0.4094,-10.1059,0.1293
1.3759,-0.4405,-9.9599,0.1173
1.3789,-0.4190,-9.8857,0.1053
1.3818,-0.6081,-9.9575,0.1030
1.3848,-0.3903,-9.9766,0.1628
1.3877,-0.4812,-9.8593,0.1077
1.3907,-0.4310,-9.9024,0.0287
1.3936,-0.3855,-9.8426,0.0742
1.3965,-0.4046,-9.9144,0.1317
1.3995,-0.4310,-9.9623,0.1652
1.4024,-0.3711,-9.9048,0.0335
1.4054,-0.3855,-9.9000,0.1413
1.4083,-0.4046,-9.9311,0.1030
1.4113,-0.4022,-9.9551,0.0982
1.4142,-0.4573,-9.9192,0.0622
1.4172,-0.5890,-10.0940,0.1413
1.4202,-0.5866,-9.9048,0.1149
1.4231,-0.3089,-9.8114,0.0982
1.4261,-0.4238,-10.1059,0.0982
1.4290,-0.4286,-10.0772,0.1030
1.4320,-0.3759,-9.9168,0.1077
1.4349,-0.3615,-9.9575,0.1532
1.4379,-0.4477,-9.9479,0.1556
1.4408,-0.3783,-9.9168,0.0862
1.4438,-0.4142,-9.9335,0.2011
1.4467,-0.4214,-9.9455,0.1604
1.4497,-0.4094,-9.9718,0.1006
1.4526,-0.3735,-9.9264,0.0646
1.4556,-0.3974,-9.9503,-0.1077
1.4585,-0.4621,-9.9623,0.0958
1.4614,-0.4166,-9.9407,0.0694
1.4644,-0.4286,-9.9455,0.0239
1.4673,-0.4238,-9.9479,0.2753
1.4703,-0.4142,-9.9359,0.0982
1.4732,-0.4238,-9.9240,0.0359
1.4762,-0.4262,-9.9383,0.0359
1.4791,-0.4381,-9.9479,0.1580
1.4821,-0.3735,-9.9383,0.0790
1.4850,-0.3136,-9.9192,0.1891
1.4880,-0.3950,-9.9958,0.0814
1.4909,-0.4214,-9.9479,0.0718
1.4938,-0.4094,-9.9838,0.1149
1.4968,-0.4190,-9.9766,0.0958
1.4997,-0.4573,-9.9144,0.0718
1.5027,-0.4645,-9.9311,0.0670
1.5056,-0.3831,-9.9742,0.0096
1.5085,-0.4357,-9.9240,0.0838
